entied,countied
Quinteros,1
The La Patria,1
Charles Langen,1
Wharton,1
Patrick Shields,1
Shields,1
Peteira,1
Pereira,1
the Republican national convention,1
departments &mdash,1
a Democratic House of Representatives,1
the civil war,1
the sea &mdash,1
Elaine,1
the Associated Chambers of Commerce of Great Britain,1
The British Trade Journal,1
the Democratic national convention,1
the bureau of labor,1
the Industrial World,1
Swansea,1
Ayer,1
the per cent,1
Kolb,1
Agricultural Departments,1
the Nicaragua Ship Canal,1
the Committees of Foreign Affairs,1
development&mdash;of,1
BEJ,1
"37,285.The Textile World",1
Tracy,1
Government?Lawlessness,1
The Textile World,1
Efforts,1
Contracts,1
Lawlessness,1
Lorin A. Thurston,1
W. R. Castle,1
W. C. Wilder,1
C. L. Carlet,1
Joseph Marsden,1
kindred,1
Federal power the General Government,1
Americanmanliness,1
Andwhen,1
Sung-pu,1
Article XII,1
the Bering Sea Tribunal of Arbitration,1
Amapala,1
the wanton act,1
The Government of Honduras,1
Cavally,1
the Liberian Legislature and Executive,1
Paso del Norte,1
King Malietoa's,1
Santa Maria,1
the Columbian Exposition,1
Anatolia College,1
Marsovan,1
Turkish Koordistan,1
the Venezuelan Transportation Company,1
the Provisional Government of the islands,1
the International American Conference of,1
The Superintendent of Immigration,1
the Army Gun Factory,1
Watervliet,1
Chickamauga and Chattanooga National Military Park,1
Robert Williams,1
Railway Mail Service,1
Montgomery and Marblehead,1
Katahdin,1
Olympia,1
Indian Government,1
such Provisional Government,1
the Committee of Foreign Affairs,1
Hawaiian Government,1
Blount&#39;s,1
the Queen of Hawaii,1
Queen&#39;s,1
the de jure Government,1
Skerrett,1
the Government of the islands,1
de fato,1
the committee of annexation,1
Doubts,1
W. Q. GRESHAM,1
the Antwerp Industrial Exposition,1
Da Gama,1
Emilio Santos,1
Articles V,1
Governments in Bering Sea,1
North Pacific Ocean,1
"of$425,000",1
the Island Empire,1
The Japanese Empire,1
Leon Baldwin,1
Durango,1
Rama,1
Arguello,1
Krzeminski,1
The Government of Salvador,1
Melton,1
Special,1
Samoans,1
Upolu,1
Atuans,1
the Department of the East,1
Fort Sill,1
Ind. T.,1
John M. Schofield,1
the General Commanding the Army,1
the Union Pacific Railway Company,1
The Postmaster-General renews the suggestion,1
the Washington Navy-Yard,1
Benham,1
Coast Survey,1
the Hydrographic Office of the Navy Department,1
Cheyennes,1
Arapahoes,1
army,1
the War of 1812.The,1
tuberculin,1
D. E. Salmon,1
The Office of Experiment Stations,1
the United States Department of Agriculture,1
the Department for the present fiscal year,1
the national board,1
John D. Kernan,1
Nicholas E. Worthington,1
D. Wright,1
coin reserve,1
section 3700,1
the Emperor's Government,1
The Governments,1
John L. Waller,1
Hovas,1
the Bering Sea Arbitration Tribunal,1
the Maritime Conference of Washington,1
Prince of Wales Island,1
the Frozen Ocean,1
the United States Coast and Geodetic Survey,1
the Royalist party,1
Thurston,1
the Mosquito Nation,1
the Mosquito Strip,1
Hatch,1
Corinto,1
The Russian Government,1
Allianca,1
Colon to New York,1
Antonio Maximo Mora,1
Sivas,1
non-Mussulman,1
Scutari,1
Erzerum and Harpoot,1
the Solicitor of the Department of State,1
the Consular Bureau,1
Julian Pauncefote,1
the Governments of the Old World,1
Asiatic Turkey,1
Harpoot and Marash,1
the Northern Pacific and Bering Sea,1
Cree Indians,1
the Fort Leavenworth Military Prison,1
the Dead-Letter Office,1
cents93.0From,1
the Bureau of Construction and Repair,1
the Bureau of Supplies and Accounts,1
The War College,1
skeleton crews on board,1
The Naval Militia,1
non-Indian,1
the Western Pacific Railroad Company,1
Central Pacific,1
the Departments of Treasury,1
the Union Pacific Company,1
Profoundly,1
United Statesfor,1
andAmerican,1
Americanname,1
Americanmerchant,1
AmericanNavy,1
Arbitration,1
the British Houseof Commons,1
Executivehimself,1
Iconsider,1
Presidentto,1
Consul,1
Martinez de Campos,1
the Spanish Cortes,1
the Hawaiian State,1
William L. Merry,1
W. Godfrey Hunter,1
the Governments of Guatemala,1
Edward O. Wolcott,1
Adlai E. Stevenson,1
Charles J. Paine,1
John A. Kasson,1
the Governments of Japan,1
The Government of Great Britain,1
the Universal Exposition of 1900,1
the Yukon Valley,1
Randall,1
the Eighth Infantry,1
St. Michael,1
Yukon River,1
Dyea,1
the Indian Government,1
the Tribal Governments and Courts,1
the Tribal Governments,1
section 16,1
Seminole Nations,1
the Choctaws,1
tribes-- the Choctaws and Chickasaws,1
the Creek Nation,1
the National Council of said Nation,1
the Indian Appropriation Act,1
the Tribal Nations,1
Henry L. Dawes,1
the United States Courts,1
Main Line,1
the Kansas Pacific Line,1
lien,1
the Cuban war,1
the Province of Pinar del Rio,1
Santa Clara,1
cultivation&rdquo,1
Canovas,1
Woodford&rsquo;s,1
Grant&rsquo;s,1
Jackson&rsquo;s,1
the naval court of inquiry on the destruction,1
the Americas Navy,1
Peninsula,1
the Queen Regent,1
A.D.,1
succor,1
the naval board of inquiry,1
united American,1
effect.|| Due,1
the Declaration of Paris,1
the Life-Saving,1
Light-House,1
The Signal Corps,1
Caimanera,1
George Dewey,1
Mirs Bay,1
Major-General Merritt,1
Winslow,1
Worth Bagley,1
Antillean,1
the North Atlantic Squadron,1
Major-General Shafter,1
Daiquiri,1
Tenth Cavalry,1
the First United States,1
Volunteer Cavalry,1
the 2d El Caney,1
the Maria Teresa,1
Almirante Oquendo,1
Cristobal Colon,1
Santiago Spain's,1
Camara,1
Shafter,1
Higginson,1
Schwan,1
the Third Army Corps,1
General Brooke,1
Guayama,1
Hormigueros,1
Coamo,1
Yauco,1
Cape San Juan,1
Puerto Rican,1
Admiral Dewey's,1
I. Spain,1
James F. Wade,1
William T. Sampson,1
Matthew C. Butler,1
John R. Brooke,1
Brigadier-General,1
William W. Gordon,1
The Puerto Rican Joint Commission,1
The Cuban Joint Commission,1
William R. Day,1
Cushman K. Davis,1
William P. Frye,1
Whitelaw Reid,1
Andean,1
Magellan Straits,1
the Argentine Government,1
Thomas Jefferson Page,1
the Congress of Argentina,1
the Empress-Queen,1
Luzerne County,1
the Greater Republic,1
the United States of Central America,1
United States of Central America,1
Kiao,1
Wei-hai-wei,1
Port Arthur,1
Talienwan,1
Szechuen,1
Kutien,1
the Ozama River,1
Moses P. Handy,1
Thomas W. Cridler,1
Ferdinand W. Peck,1
section 4 of the same,1
the Imperial Government of the,1
Swiss Governments,1
Ramsden,1
The Government of Greece,1
Bernard Campbell,1
Shelby M. Cullom,1
John T. Morgan,1
Robert R. Hitt,1
Sanford B. Dole,1
Walter F. Frear,1
Jesus Guerra,1
Guerra,1
Report No,1
the Treasury Departments,1
The Mexican Water Boundary Commission,1
Bancos,1
Victor H. McCord,1
Hans,1
Article I of the general act,1
Jaluit,1
Nicholas John Hannen,1
the International Red Cross,1
Article IV,1
Fuller,1
Justice Brewer,1
Herschell,1
Richard Collins,1
M. F. De Martens,1
Felipe Scandella,1
Volunteer Army,1
Kansas Pacific,1
the Union Pacific,1
the Kansas Pacific Railroad,1
the Central Pacific Railroad Company,1
The Supervising Architect,1
the Pine Mountain,1
Zaca Lake Reserve,1
the Prescott Reserve,1
the Pecos River Reserve,1
the Fish-Culture Reserve,1
The Forestry Division of the Department,1
Hobart,1
section 3694,1
The Industrial Commission,1
"the Congress of June 18, 1898",1
the Trans-Missouri Freight Association,1
Traffic Association,1
Pando,1
non-Catholic,1
Bolivian,1
the Brazilian Legislature,1
The Panama Star,1
the Nicaraguan Canal Commission,1
Republic of Santo Domingo,1
Heureaux,1
Juan Isidro Jimenez,1
Eluefields,1
the Mosquito Territory,1
The Maritime Canal Company,1
U. S. N.,1
the Atrato River,1
the Chilean Senate,1
Nanking,1
Tsing-tao,1
Kiao chao,1
Ta-lien-wan,1
z898,1
American National Institute,1
the Congresses of Public Charity,1
Borkum Emden,1
the North Sea,1
High Commission,1
Articles III,1
the American Commissioners,1
the British Commissioners,1
the Boer States of Africa,1
Orange Free State Governments,1
XIXth Article,1
Morgan City,1
Kobe,1
the Pacific Cable Company,1
Mattie Rich,1
the Mexican Executive,1
The International Water Boundary Commission,1
The Hague Disarmament Conference,1
Malietoa Tanu,1
Pago Pago,1
Ofoo,1
Olosenga,1
Manua,1
the Duke of Arcos,1
Madrid Hon,1
Bellamy Storer,1
The International Commission of Arbitration,1
Barima Point,1
Andrade,1
"Barbados,",1
the Republics of South and Central America,1
the Republics of America,1
International American Conference,1
Governments of the Latin,1
Pan-Amencan Exposition,1
Erie,1
the States of the United States,1
National Museum,1
the United States Commission,1
International Commercial Congress,1
The Hague on the 18th of May,1
Andrew D. White,1
Seth Low,1
Stanford Newel,1
Alfred T. Mahan,1
William Crozier,1
Frederick W. Holls,1
the Geneva Convention of 1864,1
The Convention for the Pacific Settlement of International Conflicts,1
the Convention for the Pacific Settlement of International Conflicts,1
the Congress of April 22,1
Director-General of Posts,1
Post-Office Inspector,1
Assistant Postmaster-General,1
Pacific Railroad,1
"cash$58,448,223.75Kansas Pacific",1
"secured47,050,172.36Kansas Pacific",1
Fish Culture Reserve,1
the Trabuco Canyon,1
the Mount Rainier Reserve,1
the San Francisco Mountains,1
the Black Mesa,1
Gallatin,1
Gila River,1
Fish Lake,1
the far East,1
Iloilo,1
Jacob Gould Schurman,1
Cornell University,1
Charles Denby,1
San Pedro,1
the Major-General Commanding the Department,1
Bacolod,1
Visayan,1
the Sulu Islands,1
J. C. Bates,1
United States Volunteers,1
Article I the sovereignty of,1
Article X,1
General Bates,1
Tagal,1
the Constitution of the United,1
the Hawaiian Republic,1
"""The Territory of Hawaii",1
the Government of many millions of dollars,1
Immediate,1
Taiping,1
the Yang-Tse,1
Throne,1
Palace,1
The Tsung-li Yamen,1
the Pei-Ho,1
Langfang,1
Baron von Ketteler,1
Claude MacDonald,1
E. G. Squiers,1
Captain Myers,1
Jung Lu,1
Chang Yen-hoon,1
Wu Ting-fang,1
General Chaffee,1
Yangtsun,1
Ho-si-woo,1
Tung Chow,1
Chi-li,1
Earl Li,1
Hung Chang,1
Prince Ching,1
Rockhill,1
"the International Convention of June, 1899",1
the Commission of 1893,1
the Chilean Congress,1
E. P. Alexander,1
Jimenez,1
Ozama,1
Seine,1
the Lafayette Monument,1
Great Britain's,1
Delagoa Bay,1
Russo,1
R. H. May,1
the Guatemalan Government,1
George F. B. Jenner,1
Frank H. Pears,1
Humbert,1
the La Abra,1
Weil,1
Mexican International (Water) Boundary Commission,1
the Convention for the Pacific Settlement of International Disputes,1
The Administrative Council of the Permanent Court of Arbitration,1
the International Arbitration Bureau,1
Article XXIII of the Convention,1
Melville W. Fuller,1
John W. Griggs,1
Eyre-Cragin,1
trans-Isthmian,1
the Senate the Convention with Great Britain,1
the Clayton-Bulwer Treaty,1
Convention of Extradition,1
the Peruvian Congress,1
T. M. C. Asser,1
the Imperial Russian Government,1
the Treaty of Peace,1
Sulus,1
Sibutd,1
Cagayan Sulu,1
The King of Sweden,1
Harpoot,1
International American Congress,1
The Bureau of the American Republics,1
the International Union,1
another International American Congress,1
the Bureau of Foreign Commerce,1
Consular Reports,1
the Division of Redemption,1
Honor Cayetano Arellano,1
Audiencia,1
the previous Commission,1
the National Government of the United States,1
Different,1
Indispensable,1
the Treaty of Paris,1
W,1
the trans-Atlantic,1
trans-Asian,1
the Taft Commission,1
Inspector-General's Department,1
Quartermaster's Department,1
Subsistence Department,1
Pay Department,1
Ordnance Department,1
Signal Corps,1
David D. Porter,1
national naval reserve,1
the Olympic Reserve,1
The Prescott Reserve,1
the Big Horn Reserve,1
Santa Ynez,1
the Crow Creek Forest Reserve,1
section 7,1
Chapter 34,1
the Civil Laws of Hawaii,1
the Bureau of trained,1
The United States Civil Service Commission,1
the United States Philippine Commission,1
John Marshall Day,1
the Capital of the Republic,1
the Corcoran Gallery of Art,1
Treasuryreceipts,1
thesum,1
"the Constitution of the United States""and",1
Governmentin,1
restupon,1
Governmentdeems,1
Theprinciples,1
Congresshas,1
Governmentfor,1
PhilippineIslands,1
Byfar,1
Milburn,1
A Proclamation,1
Pan-American Exposition at Buffalo,1
Judas,1
King Humbert,1
gulf,1
the Interstate-Commerce Act,1
Commerce and Industries,1
the Interstate Commerce Law,1
Ships,1
"The Act of March 14, 1900",1
the National Banking Law,1
the Interstate Commerce Act,1
Lax,1
Queen of the Antilles,1
South Atlantic States,1
Clayton-Bulwer,1
Alcibiades and Hamilcar,1
Tromp and Blake,1
the Spanish Navy,1
supreme command,1
This General Board,1
a National Naval Reserve,1
the Civil Service Law,1
man&#39;s,1
The General Allotment Act,1
the St. Louis Exposition,1
the Louisiana Purchase,1
the Charleston Exposition,1
The Pan-American Exposition at Buffalo,1
the National Zoological Park,1
William Woodville,1
the Shanghai River,1
the Pan-American Congress,1
La Abra,1
Queen Victoria,1
Frederick of,1
at&#39,1
Platt,1
American Continent,1
the French Panama Canal Company,1
Pacific-,1
the Commercial Pacific Cable Company,1
the U. S. S. Nero,1
trans-Pacific,1
company&#39;s,1
Brest,1
the Mohammedan Moros,1
the Admiral of the Navy,1
The isthmian canal,1
the Naval School,1
the Commission of Fish and Fisheries,1
smith work,1
Museum,1
Commercial Convention,1
Houses of the Congress of the United States,1
the Reciprocal Commercial Convention,1
Tasker H. Bliss,1
Carlos de Zaldo,1
Beurmann,1
Honorable,1
M. Garcia,1
Montes,1
Article I and being the,1
the Customs Tariff,1
"ARTICLE IV.
",1
Schedule A.,1
Paragraphs 21 and,1
Schedule B.,1
Butter,1
hemp,1
Group 2,1
Schedule C,1
Paragraphs 197 and 198,1
pasteboard,1
manufactures thereof,1
Paragraphs 157 to,1
Paragraph 105,1
"Schedule C.
To",1
TASKER H. BLISS,1
CARLOS DE ZALDO,1
JOSE M. GARCIA MONTES,1
the isthmian canal,1
Barranquilla,1
Jose Augustin Arango,1
Tomas Arias,1
Cables Nashville,1
Padilla,1
Sent 12.51 p.m.,1
Filippe Bunau Varilla,1
Manavi,1
the Committee of the Government,1
Amador Guerrero,1
Arosemena,1
Gunboat Bogota,1
Sent 4 p.m.,1
morning&#39;s,1
Colombians,1
Colon and Monkey Hill,1
Vessel,1
Tranquillity,1
Porfirio Melendez,1
a. m. English,1
THE PANAMA GOVERNMENT,1
PRESIDENTE DE LOS ESTADOS UNIDOS,1
Francisco V. de la Espriella,1
J. M. ARANGO,1
NEW YORK,1
the Mother of the American Nations,1
Beaupre,1
Cauca,1
Colombian Government,1
a. m. I,1
Bedronel Ospina,1
Lucas Cabellero,1
Lorenzo Marroquin,1
INCLOSURE,1
EXCELLENCY,1
the Colombian Department of Panama,1
THOMAS HERRAN,1
TOWER,1
THE PRESIDENT&#39;S REPLY TO THE REMARKS,1
Minister,1
Very Respectfully,1
WILLIAM H. MOODY,1
American Consul,1
"Colon, Porto Bello",1
armed force,1
Ancon Hill,1
CRUISER ATLANTA,1
AMERICAN CONSUL,1
Gunboat,1
BOSTON,1
"MOODY
NAVY DEPARTMENT",1
Porto Bello,1
Woods Hole,1
Mass.,1
the State of Cauca,1
St. Andrews Island,1
Receipt,1
Amaya,1
Morales,1
Cape Mala,1
Atlas Line&#39;s,1
R. M. S. P. Company&#39;s,1
Rio Dulce,1
the new Department,1
the American Line,1
Arthur V. Briesen,1
Lee K. Frankel,1
Eugene A. Philbin,1
Thomas W. Hynes,1
Ralph Trautman,1
Federal trust and interstate-commerce,1
Klukwan,1
the Klehini River,1
Joint High Commission,1
George Turner,1
the Right Honourable Lord Alverstone,1
Louis Amable Jette,1
the Supreme Court of Quebec,1
A. B. Aylesworth,1
Toronto,1
Tongass Inlet,1
Wales,1
Klehini,1
the Porcupine River,1
Glacier Creek,1
the Far Northwest,1
"Message of December 5, 1898",1
Peckham,1
J.,1
the Interparliamentary Union for International Arbitration,1
this Interparliamentary Union,1
Oriental Empire,1
Mukden,1
the Yalu River,1
the Auditor for the State,1
the Louisiana Purchase Exposition,1
Wagon,1
W. A. Richards,1
F. H. Newell,1
Chief Hydrographer,1
Fort Riley,1
Captain Pershing,1
Moro,1
the Office of Naval Intelligence,1
the Board of Inspection,1
the isthmian canal shall be built,1
the Isthmus of the Republic of Colombia,1
new Republic,1
Cuss,1
"position:""The United States",1
Nevertheless the Government of Colombia,1
The Government of Colombia,1
the Colombian Congress,1
Secretaries Cass and Seward,1
The de facto Government of Panama,1
"Ehrman:""The",1
"""The Government of Colombia",1
"Beaupre:""The",1
the Governments of New Granada,1
Fish,1
Bayard,1
the Hay-Herran,1
ISTHMIAN CANAL CONVENTION,1
the Congress of the United States of America,1
John Hay,1
Philippe Bunau-Varilla,1
Perico,1
Naos,1
Flamenco,1
ARTICLE IV,1
the Government of the Republic of Panama,1
ARTICLE XII,1
ARTICLE XIII,1
ARTICLE XIV,1
ARTICLE XVI,1
ARTICLE XVII,1
ARTICLE XVIII,1
ARTICLE XIX,1
ARTICLE XX,1
ARTICLE XXI,1
XXII,1
XV,1
Lucien N. B. Wyse,1
Wyse,1
the Universal Panama Canal Company,1
ARTICLE XXIII,1
ARTICLE XXIV,1
ARTICLE XXV,1
ARTICLE XXVI,1
a Power or State,1
the Territories the Federal,1
Federal power,1
The Bureau of Labor,1
the Labor Bureau,1
"""The Bureau of Corporations",1
Regulate Commerce,1
the interstate commerce act,1
Commonwealths,1
Commission on Housing and Health Conditions,1
Park Commission,1
the Gulf coast,1
the Great Wall of China,1
the National Live Stock Association,1
the National Wool Growers' Association,1
the American Mining Congress,1
the National Board of Trade,1
The Canyon of the,1
The Pension Bureau,1
the Indian Office,1
section 5586,1
National Gallery of Art,1
the National Public Health,1
Marine-Hospital Service,1
the Signal Corps of the Army,1
the Code of Alaska,1
Salmon,1
The Marine-Hospital Service,1
Kishenef,1
American Jew,1
cruiser,1
Manassas,1
Regulars and National Guard,1
army corps,1
Turkestan,1
the Giver of Good,1
race;and,1
approachthese,1
State Government,1
Federal interstate commerce laws,1
The Legislature of Colorado,1
Receiver of Public Moneys,1
the United States Land Office,1
State Legislatures,1
Rosen,1
The Golden Rule,1
an American Republic,1
these Custom Houses,1
the Collectors of Customs,1
the Government of Santo Domingo,1
The Generals,1
Colonels,1
the Russo-Japanese,1
the Medical Department of the navy,1
Gallinger,1
the Reclamation act,1
Reclamation,1
the National Forest Service,1
the Merchant Marine Commission,1
Colonial,1
Englishman,1
Slav,1
Anarchist,1
Anarchistic,1
Consular Service,1
coolie immigration,1
The Civil Service Commissioners,1
departments and bureau chiefs,1
inter-State,1
the Yosemite Valley,1
the Yellowstone National Park,1
Federal jurisdiction,1
Archipelago,1
the Province of Cavite,1
the Province of Batangas,1
the Province of Samar,1
the Island of Jolo,1
Moros,1
the Moro Province,1
Batangas,1
the Federal Court,1
the Executive Council,1
the Alaskan Indians,1
Theodore P. Shonts,1
Charles E. Magoon,1
Benjamin M. Harrod,1
Mordecai T. Endicott,1
Peter C. Hains,1
Oswald H. Ernst,1
the Advisory Board of American,1
European Engineers,1
Spooner,1
War&#39;s,1
James Bronson Reynolds,1
Charles P. Neill,1
the Bureau of Animal Industry of the Department of Agriculture,1
the general Government,1
Beveridge amendment,1
Holt,1
Palmer,1
The interstate commerce act,1
Pomeroy,1
The New York Central,1
Hudson River Railroad Company,1
Parker,1
W. H. Taft,1
"North, South, East",1
Candler,1
Bishop Galloway,1
Jelks,1
The interstate commerce law,1
Bourbon,1
Rebates,1
the Standard Oil Company,1
Justice White,1
the Constitution the National Legislature,1
the States of the Rocky Mountains,1
Southern Appalachian,1
The national bank act,1
Leyte,1
Yukon Pacific Exposition,1
the Loyal Ronins,1
the Japanese Red Cross,1
Platt amendment,1
The Second International Conference of American Republics,1
the First Conference,1
the Second Conference,1
World Congress,1
Drago,1
Richard Rush,1
the Government of Brazil,1
Palacio Monroe,1
the Second Peace Conference at The,1
the Second Hague Conference,1
the Republics of Salvador,1
the Third International American Conference,1
the United States of Mexico,1
the Republics of Guatemala,1
The Algeciras Convention,1
The Bering Sea Tribunal,1
Sims,1
The Red Cross Conference,1
Mahan,1
the Spanish war the Secretaries of War,1
a National Board,1
Our Regular Army,1
Proportionate,1
Arecibo,1
Porto Rico&#39;s,1
the Porto Rican Federation of Labor,1
the Coffee Growers&#39,1
Association,1
the Department of War or the Department of State,1
The U. S. S. Louisiana,1
Cristobal 1.05 inches,1
the Ancon Hospital,1
the Hotel Tivoli,1
the British Government on the Isthmus of Panama,1
Gey,1
Sosa,1
Cristobal,1
Front,1
Rixey,1
Engineer Stevens,1
Waring,1
Surgeon-General Rixey,1
the Norfolk Navy-Yard,1
Commission&#39;s,1
Mount Hope,1
Colon and Cristobal,1
Grant&#39;s Administration,1
Titanic,1
Shanton,1
O&#39;Connor,1
St. Lucia,1
ample house,1
the Secret-Service,1
seaman&#39;s,1
Panamans,1
French Company,1
The Young Men&#39;s Christian Association,1
the Chief Engineer,1
ridge,1
Culebra,1
Thomases,1
the Great Northern Railroad,1
St. Louis&mdash;the,1
General Nettleton,1
Augustus P. Blocksom,1
Leonard A. Lovering,1
Ernest A. Garlington,1
the Inspector-General of,1
Southerner,1
Blocksore,1
A. B. Nettleton,1
ex-Union,1
Fort Brown,1
Penrose,1
Appendix,1
James Wilkinson,1
Sixtieth,1
The Eleventh New York,1
the Fifth Missouri Cavalry,1
the Fourth Missouri Cavalry,1
the Thirteenth Army Corps,1
the Twentieth Illinois,1
Confederates,1
Twiggs,1
the Army of Northern Virginia,1
the Charlotte Observer,1
Speer,1
this the National Government,1
the National Interstate Commerce Commission,1
Inland Waterways Commission,1
the States of the Great Plains,1
Rockies,1
Sierras,1
White Mountain,1
George W. Goethals,1
William L. Sibert,1
Civil Engineer H. H. Rousseau,1
U. S. Navy,1
J. C. S. Blackburn,1
U. S. Army,1
Alfred Noble,1
Frederic P. Stearns,1
John R. Freeman,1
Alaskan-Yukon-Pacific Exposition,1
The State of,1
Hermitage,1
Hermitage Association,1
the Vicksburg National Park,1
the Congress for the Thirteenth Census,1
Census Bureau,1
Republics of South America,1
trans-Atlantic,1
Baal,1
The Medical Corps,1
Revenue-Cutter Service,1
Rear-Admiral,1
the Medical Corps of the Navy,1
The Academy,1
Richard Wainwright,1
Robert S. Griffin,1
Albert L. Key,1
Charles J. Badger,1
The Second International Peace Conference,1
The Hague on the 15th of June,1
"follows;""It",1
the Third American Conference at Rio,1
Chapter III,1
the Dogger Bank,1
Second Conferences,1
the Queen of the Antilles,1
the French Exposition,1
the Departments of the Treasury,1
Empire of China,1
the Presidents of Mexico,1
the Pan American Conference,1
the International Bureau of American Republics,1
Commerce and Labor,1
the Anthracite Strike Commission,1
Waterways Commission,1
the Currency Commission,1
the Constitution the United States,1
The Central Government,1
the National Government of combinations,1
the National Government of the great interstate corporations,1
Bulletin,1
COURTS,1
the House Committee on the Judiciary,1
associations,1
Adriondacks,1
North China,1
Frank N. Meyer,1
the Bureau of Plant Industry,1
Department of Agriculture,1
Marco Polo,1
Shansi and Shensi,1
Polo,1
the Hun Ho,1
barbaric,1
Mongol,1
the Sungari River,1
Jehol,1
the Mongolian Desert,1
the scientific bureaus of the Government,1
Stegomyia,1
INDIAN,1
The National Bureau of Education,1
International Congress on Tuberculosis,1
the Department of Commerce and Labor the Government Printing Office,1
the Joint Committee,1
INDEPENDENT BUREAUS,1
Bureau of Fisheries,1
the Bureau of Fisheries,1
LATIN-AMERICAN,1
The International Bureau of the American Republics,1
Australiasia,1
the Panamal Canal,1
the Territory of Hawaii,1
coolie labor,1
Hitherto this,1
CUBA,1
NATIONAL GUARD,1
The North Dakota,1
The Board of Visitors,1
the Bureauof Corporations,1
the InterstateCommerce Commission,1
theDingley Act,1
Dingley Act,1
theMississippi,1
Asiaof,1
Meantimewe,1
Executivein,1
Republicanplatform,1
investmentas,1
the Departments of Agriculture andof Commerce,1
The Panama Canal,1
onthe east coast,1
Executiveupon,1
theIsthmus,1
the Isthmus of a board of competent,1
Gatundam,1
Goethalsand,1
Philippinesare,1
PortoRico,1
Northerners,1
theFederal Government,1
Southern Statesof,1
theSouth,1
Finance Committee,1
Loan,1
Spreckels Sugar Refining Company against,1
McClain,1
The Ways and Means Committee of the House,1
Payne Tariff,1
Schedule B--,1
F,1
Dingley lawby Payne,1
of---------------------- 78 3,1
Schedule N,1
Schedule A,1
Schedule H,1
rates)G,1
Schedule A. Chemicals,1
Wines,1
Pinchot,1
Aldrich,1
the North Atlantic Coast,1
the Arbitral Tribunal,1
the Canadian International boundary,1
the Passamaquoddy Bay,1
The International Fisheries Commission,1
"the Convention of April 11, 1908",1
the St. John River,1
The Second Peace Conference,1
Article 7 of the Convention,1
the Declaration of London,1
the International Conference on Maritime Law,1
International Conference for the,1
Continental,1
Belgian Agents,1
The Liberian Government,1
The Norwegian Government,1
The European Powers,1
Majesty Mehmed V,1
Sultan of Turkey,1
the Governments of Bolivia,1
the Governments of Peru,1
International Agricultural Exhibition,1
Departments of this Government,1
Exhibition,1
Panaman,1
the Emery Company,1
Alsop and Company,1
Edward,1
the Far East this Government,1
The Imperial Chinese Government,1
the Opium Conference,1
the Chinese-Japanese Conventions,1
South Manchurian,1
Antung-Mukden Railroads,1
THE DEPARTMENT OF STATE,1
Divisions of Latin-American,1
Far Eastern Affairs,1
the Department of a,1
the Executive Order,1
"the Act of August 5, 1909",1
the Bureau of Trade Relations of the Department of State,1
Section 2,1
the Bureau of Trade Relations,1
a Committee on Public Expenditures,1
Maximum and Minimum,1
THE NEW TARIFF BOARD,1
Promoted,1
Chesapeake Bay,1
the Department of a military,1
Naval Observatory,1
EXPEDITION,1
State Bar Associations,1
"the following:""The Republican party",1
Sherman Anti-trust Law,1
"the ""Interstate Commerce Law",1
Capitol Dome,1
ARIZONA,1
States of,1
LIGHT-HOUSE BOARD,1
The Light-House Board,1
THE WHITE SLAVE TRADE,1
the Bureau of Immigration,1
The White Slave Trade,1
the Medical Department of the Army,1
the Medical Department of the Navy,1
"the ""Bureau of Public Health",1
the Census Act,1
CongressFREEDMAN'S SAVINGS AND TRUST COMPANY,1
"the ""United States Court of Commerce",1
"the ""Elkins Act",1
section 20,1
section 23,1
Reasons,1
the Court of Customs Appeals,1
the Commerce Court,1
The Commerce Court,1
section 15,1
the Interstate Commerce Committee,1
Sherman Anti-Trust Act,1
"the"" Sugar Trust",1
the Sugar Trust,1
Sugar Trust,1
The Homestead Act,1
the Lower House,1
The Mississippi River,1
the Permanent Court of The Hague,1
Fisheries,1
the Fisheries Convention of 1818,1
the Orinoco Steamship Company,1
the Prize Court Convention,1
The Identic Circular Note,1
Arbitral Court of Justice,1
GREAT BRITAIN,1
CANADA,1
the International Fisheries Commission,1
PORTUGAL,1
the Treaty of 1862,1
the American Naval Officers,1
the American Commission,1
TURKEY,1
the Special Embassy,1
Ottomans,1
MONTENEGRO,1
National Skoupchtina,1
King of Montenegro,1
Hankow,1
the Yangtse Valley,1
Treaty of 1903,1
the International Exchange Commission,1
Their Majesties,1
the Russo-Japanese Agreement,1
Their Imperial Highnesses Princes,1
Tsai-tao,1
Tsai-Hsun of China,1
Prince Higashi Fushimi,1
Prince Tokugawa,1
the House of Peers of Japan,1
the Fourth Pan-American Conference,1
the Delegation of the United States,1
the International Conference of American States at Buenos Aires,1
Pan American Union,1
American Governments,1
The Hague Convention for the pacific settlement,1
the United States-Mexican Boundary Commission,1
Tex,1
The Republic of Honduras,1
the Honduranean Government,1
the Madriz Government,1
Argentine Republic,1
AMERICAN BRANCH BANKS,1
the Courts of the,1
DIPLOMATIC,1
Section 1753,1
the Executive Orders,1
EMBASSY,1
the Government of suitable residences,1
the House Committee on Foreign Affairs,1
CUT,1
the Auditor,1
the Auditor for the Post Office Department,1
Final Estimates,1
Original Estimates,1
Total Estimates,1
"Legislature$13,426,805.73$13,169,679.70$13,169,679.70$12,938,048.00",1
"+ 420,109.14Public",1
"revenues---------------10,634,122.6310,634,122.6310,634,122.63-10,634,122.65-10,634,122.63",1
